Threshold,TP,FP,FN,TN,TPR,FPR,PPV
0,145,166,6,945,0.96,0.15,0.53
5,145,166,6,945,0.96,0.15,0.53
10,145,166,6,945,0.96,0.15,0.53
15,145,166,6,945,0.96,0.15,0.53
20,145,166,6,945,0.96,0.15,0.53
25,145,166,6,945,0.96,0.15,0.53
30,145,166,6,945,0.96,0.15,0.53
35,145,166,6,945,0.96,0.15,0.53
40,145,166,6,945,0.96,0.15,0.53
45,145,166,6,945,0.96,0.15,0.53
50,145,166,6,945,0.96,0.15,0.53
55,145,166,6,945,0.96,0.15,0.53
60,145,166,6,945,0.96,0.15,0.53
65,145,166,6,945,0.96,0.15,0.53
70,145,166,6,945,0.96,0.15,0.53
75,145,166,6,945,0.96,0.15,0.53
80,145,166,6,945,0.96,0.15,0.53
85,145,166,6,945,0.96,0.15,0.53
90,145,166,6,945,0.96,0.15,0.53
95,145,166,6,945,0.96,0.15,0.53
100,145,166,6,945,0.96,0.15,0.53
105,145,166,6,945,0.96,0.15,0.53
110,145,166,6,945,0.96,0.15,0.53
115,145,166,6,945,0.96,0.15,0.53
120,145,166,6,945,0.96,0.15,0.53
125,145,166,6,945,0.96,0.15,0.53
130,145,166,6,945,0.96,0.15,0.53
135,145,166,6,945,0.96,0.15,0.53
140,145,166,6,945,0.96,0.15,0.53
145,145,166,6,945,0.96,0.15,0.53
150,145,166,6,945,0.96,0.15,0.53
155,145,166,6,945,0.96,0.15,0.53
160,145,166,6,945,0.96,0.15,0.53
165,145,166,6,945,0.96,0.15,0.53
170,145,165,6,946,0.96,0.15,0.53
175,145,157,6,954,0.96,0.14,0.52
180,145,134,6,977,0.96,0.12,0.48
185,145,99,6,1012,0.96,0.09,0.41
190,145,61,6,1050,0.96,0.05,0.3
195,145,36,6,1075,0.96,0.03,0.2
200,145,20,6,1091,0.96,0.02,0.12
205,142,8,9,1103,0.94,0.01,0.05
210,138,2,13,1109,0.91,0,0.01
215,129,0,22,1111,0.85,0,0
220,117,0,34,1111,0.77,0,0
225,96,0,55,1111,0.64,0,0
230,73,0,78,1111,0.48,0,0
235,47,0,104,1111,0.31,0,0
240,31,0,120,1111,0.21,0,0
245,16,0,135,1111,0.11,0,0
250,5,0,146,1111,0.03,0,0
