Start Index,Stop Index,Start Time,End Time,X [m],Y [m],Z [m],Pitch [radians],Roll [radians],Yaw [radians]
15,49,0.70,2.40,0.242882,-0.313148,-14.010061,-0.017793,0.001400,-0.046751
110,142,5.45,7.05,0.057237,0.533290,-12.414348,0.001226,-0.015332,0.041271
206,238,10.25,11.85,-0.217162,0.081988,-12.399938,-0.001187,-0.009680,-0.021367
287,313,14.30,15.60,0.306143,-0.000505,-8.185588,-0.003970,0.018928,0.038564
314,329,15.65,16.40,-0.062460,-0.003031,-2.725714,-0.001560,-0.016740,0.002479
379,408,18.90,20.35,0.359972,-0.054766,-10.648720,0.160133,0.101771,-0.066214
449,488,22.40,24.35,3.056256,-1.637123,-17.661590,-0.177220,-0.113945,0.050609
623,663,31.10,33.10,-0.104642,-0.106179,-19.392608,0.046047,-0.000761,1.506481
742,775,37.05,38.70,-0.132830,0.117453,-13.269423,-0.001093,-0.009970,-1.505605
855,889,42.70,44.40,-0.659122,-4.135501,-11.766035,1.575511,-0.096717,-0.080646
957,991,47.80,49.50,-0.551448,-12.606755,-2.955155,-1.517109,0.008954,0.050742
1060,1088,52.95,54.35,2.599399,-0.017509,-8.314717,-0.005016,1.702578,-0.073202
1159,1195,57.90,59.70,14.105117,-0.017829,-2.897318,-0.038691,-1.605712,0.045554
Total Distance:,,,,18.999341,-18.159615,-136.641215,0.019278,-0.035226,-0.058083
