Time[s],Acceletarion-X[m/s],Acceletarion-Y[m/s],Acceleration-Z[m/s],Pitch,Roll,Yaw
0.050000,0.018707,-0.001266,-0.989761,-0.003120,-0.000701,-0.000956
0.100000,0.017670,-0.003250,-0.989792,-0.010556,-0.007811,0.003565
0.150000,0.015823,0.000610,-0.991806,-0.000713,0.001693,0.000235
0.200000,0.014755,0.001617,-0.987961,-0.016596,-0.003081,0.001261
0.250000,0.018799,0.001617,-0.991730,-0.014091,-0.007858,-0.001083
0.300000,0.015717,-0.001297,-0.988876,-0.003080,-0.012611,-0.002222
0.350000,0.015823,0.003601,-0.987946,-0.012749,-0.006707,-0.005693
0.400000,0.012802,0.000595,-0.989945,-0.001747,0.000439,-0.006724
0.450000,0.014740,0.002625,-0.986008,-0.000648,-0.003087,-0.002122
0.500000,0.015717,0.001663,-0.985992,0.002953,-0.007820,0.000168
0.550000,0.014847,0.004532,-0.988937,0.000181,0.018462,0.011960
0.600000,0.013824,0.001587,-0.989929,-0.001819,-0.006728,-0.005646
0.650000,0.016541,-0.002213,-0.987976,-0.008192,-0.011405,0.004688
0.700000,0.015579,-0.004196,-0.992920,0.000527,-0.006693,-0.002162
0.750000,0.012848,0.001541,-0.989990,-0.008216,-0.009041,0.004700
0.800000,0.015884,0.004547,-0.987961,-0.004312,-0.005549,-0.004502
0.850000,0.017792,0.001617,-0.987030,0.032264,0.044480,-0.005002
0.900000,0.017365,-0.006058,-0.986038,0.021334,0.043241,-0.007397
0.950000,0.019821,-0.005341,-0.992828,0.005350,0.049208,-0.002804
1.000000,0.023315,-0.005997,-0.988022,0.010357,0.008723,-0.006614
1.050000,0.024689,-0.001251,-0.986008,-0.005177,-0.000853,-0.017184
1.100000,0.016785,-0.004333,-0.988861,-0.037921,-0.024345,0.021756
1.150000,0.035736,-0.027420,-0.985977,-0.003749,-0.012403,0.020897
1.200000,0.004089,-0.111008,-0.985947,-0.008121,0.012119,0.093997
1.250000,0.016895,-0.012250,-0.988611,-0.002042,0.001882,0.012204
1.300000,0.017238,-0.017529,-0.988539,-0.002045,0.001935,0.017758
1.350000,0.015282,-0.022476,-0.988623,-0.000994,0.003220,0.022265
1.400000,0.013981,-0.026195,-0.988470,-0.001470,0.002696,0.016427
1.450000,0.014808,-0.027189,-0.988668,-0.000615,0.004898,0.006411
1.500000,0.014184,-0.029218,-0.988599,-0.002024,0.005757,0.000812
1.550000,0.014974,-0.029169,-0.988562,-0.005445,0.007965,-0.002610
1.600000,0.017565,-0.027759,-0.988525,-0.006756,0.009254,-0.008203
1.650000,0.016433,-0.025291,-0.988369,-0.009060,0.008852,-0.005858
1.700000,0.019999,-0.029755,-0.988642,-0.007476,0.005906,-0.006522
1.750000,0.019771,-0.030453,-0.988723,-0.005784,0.005152,0.008800
1.800000,0.014902,-0.031480,-0.988606,-0.009450,0.005796,0.016470
1.850000,0.016660,-0.028395,-0.988563,-0.010679,0.005854,0.006101
1.900000,0.017141,-0.028526,-0.988483,-0.009724,0.005115,0.007165
1.950000,0.020393,-0.029127,-0.988204,-0.011890,0.005148,0.009931
2.000000,0.018170,-0.027982,-0.988086,-0.011963,0.006677,0.009252
2.050000,0.015237,-0.025061,-0.988087,-0.009094,0.006444,0.008108
2.100000,0.016198,-0.020496,-0.988281,-0.010693,0.004212,-0.002889
2.150000,0.015293,-0.017634,-0.988200,-0.011196,0.001896,-0.012863
2.200000,0.016899,-0.011345,-0.988358,-0.012458,-0.000986,-0.027198
2.250000,0.016675,-0.007258,-0.988471,-0.011971,-0.002589,-0.026749
2.300000,0.016838,-0.002167,-0.988591,-0.012885,-0.002775,-0.032358
2.350000,0.018012,0.003915,-0.988592,-0.013304,-0.002551,-0.034628
2.400000,0.017468,0.009431,-0.988671,-0.014632,-0.002619,-0.037555
2.450000,0.018176,0.015899,-0.988831,-0.014419,-0.003092,-0.037978
2.500000,0.018479,0.023217,-0.988790,-0.016560,-0.003473,-0.043457
2.550000,0.017686,0.027958,-0.988710,-0.017357,-0.003654,-0.048140
2.600000,0.019730,0.035499,-0.988593,-0.014117,-0.007599,-0.043164
2.650000,0.021396,0.039534,-0.988671,-0.013931,-0.006971,-0.037238
2.700000,0.020695,0.040684,-0.988275,-0.013899,-0.009117,-0.027359
2.750000,0.021207,0.042947,-0.988113,-0.011801,-0.009919,-0.021759
2.800000,0.020461,0.043172,-0.988270,-0.008329,-0.011784,-0.018245
2.850000,0.017751,0.041799,-0.988385,-0.006625,-0.012635,-0.012556
2.900000,0.018885,0.039488,-0.988465,-0.004328,-0.012125,-0.014441
2.950000,0.015361,0.043952,-0.988270,-0.005760,-0.009075,-0.013779
3.000000,0.015587,0.044691,-0.988033,-0.007638,-0.008076,-0.029242
3.050000,0.020424,0.045675,-0.988461,-0.004447,-0.009721,-0.037115
3.100000,0.018821,0.042673,-0.988305,-0.003461,-0.010012,-0.026524
3.150000,0.018115,0.043073,-0.988389,-0.004409,-0.008936,-0.027545
3.200000,0.014831,0.043985,-0.988431,-0.002281,-0.008919,-0.030455
3.250000,0.017134,0.043000,-0.988469,-0.002044,-0.010304,-0.030104
3.300000,0.019872,0.040115,-0.988666,-0.005017,-0.010015,-0.028410
3.350000,0.018718,0.035743,-0.988591,-0.004441,-0.009300,-0.017113
3.400000,0.019521,0.033267,-0.988748,-0.004659,-0.008457,-0.007162
3.450000,0.017675,0.027374,-0.988359,-0.003881,-0.007758,0.007423
3.500000,0.017518,0.023631,-0.988166,-0.004804,-0.006958,0.007237
3.550000,0.017009,0.018927,-0.988318,-0.003846,-0.007527,0.013342
3.600000,0.015674,0.013082,-0.988284,-0.002380,-0.006992,0.015018
3.650000,0.015422,0.008885,-0.988207,-0.000779,-0.006452,0.017157
3.700000,0.015264,0.007080,-0.988163,-0.001085,-0.006303,0.014004
3.750000,0.015125,0.006336,-0.988162,0.000513,-0.006104,0.010862
3.800000,0.015493,0.006914,-0.988160,0.001370,-0.006457,0.009840
3.850000,0.015252,0.004670,-0.988084,-0.002422,-0.003520,0.000166
3.900000,0.014891,0.004631,-0.988006,-0.001550,-0.003056,0.000445
3.950000,0.014731,0.004590,-0.988361,-0.001453,-0.003118,0.000484
4.000000,0.014762,0.004476,-0.988284,-0.001551,-0.003136,0.000520
4.050000,0.014609,0.004430,-0.988478,-0.001547,-0.003060,0.000373
4.100000,0.014691,0.004391,-0.988517,-0.001402,-0.003267,0.000456
4.150000,0.014694,0.004468,-0.988556,-0.001299,-0.003333,0.000354
